id,Player_Name,Player_Intitials,Round,Pick,NFL_YearAs_A_Starter,NFL_Games_Played,NFL_Passing_Comp,NFL_Passing_Att,NFL_Passing_Yards,NFL_Passing_TDs,NFL_Passing_Int,NFL_Rushing_Att,NFL_Rushing_Yards,NFL_Rushing_TDs,NFL_Receptions,NFL_Receiving_Yards,NFL_Receiving_TDs,NFL_Tackles_Solo,NFL_Defensive_Ints,NFL_Sacks,College,College_Passing_Comp,College_Passing_Att,College_Passing_Pct,College_Passing_Yards,College_Passing_YardsPerAttempt,College_Passing_AverageYardsPerAttempt,College_Passing_TDs,College_Passing_Int,College_Passer_Rating,College_Rushing_Att,College_Rushing_Yards,College_Rushing_Avg,College_Rushing_TDs,College_Receptions,College_Receiving_Yards,College_Receiving_Avg,College_Receiving_TDs,College_Scrimmage_Plays,College_Scrimmage_Yards,College_Scrimmage_Avg,College_Scrimmage_TDs,College_Punts,College_Punting_Yards,College_Punting_Avg,College_XPM,College_XPA,College_XP_Pct,College_FGM,College_FGA,College_FG_Pct,College_Kicking_Points,College_Tackles_Solo,College_Tackles_Ast,College_Tackles_Total,College_Tackles_For_A_Loss,College_Sacks,College_Defensive_Int,College_Defensive_Int_Yards,College_Defensive_Avg,College Defensive_Int_TDs,College_Defensive_Int_PD,College_Defensive_Fumbles_Recovered,College_Defensive_Fumble_Yards,College_Defensive_Fumble_TDs,College_Defensive_Forced_Fumbles
1,Vince Young,VY,1,3,4,60,755,1304,8964,46,51,282,1459,12,0,0,0,0,0,0,Texas,444,718,61.8,6040,8.4,7.9,44,28,144.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Matt Leinart,ML,1,10,1,33,366,641,4065,15,21,47,89,2,0,0,0,0,0,0,USC,807,1245,64.8,10693,8.6,9.3,99,23,159.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Jay Cutler,JC,1,11,10,153,3048,4920,35133,227,160,386,1682,9,0,0,0,1,0,0,Vanderbilt,710,1242,57.2,8697,7,6.6,59,36,125.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Kellen Clemens,KC,2,49,2,64,350,638,4053,16,21,85,227,3,0,0,0,1,0,0,Oregon,613,1005,61,7555,7.5,7.7,61,24,139.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Tarvaris Jackson,TJ,2,64,2,59,640,1073,7263,39,35,171,636,6,0,0,0,0,0,0,Alabama St.,17,48,35.4,196,4.1,1.7,1,3,64.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Charlie Whitehurst,CW,3,81,0,26,219,396,2463,11,8,56,156,2,0,10,0,0,0,0,Clemson,817,1368,59.7,9665,7.1,6.3,49,46,124.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Brodie Croyle,BC,3,85,0,18,181,319,1669,8,9,10,15,0,0,0,0,0,0,0,Alabama,488,869,56.2,6382,7.3,7.1,41,22,128.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Brad Smith,BS,4,103,1,127,4,10,51,1,2,134,972,4,104,987,5,68,0,0,Missouri,818,1454,56.3,8644,5.9,5.7,56,32,114.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Ingle Martin,IM,5,148,0,1,0,0,0,0,0,2,-5,0,0,0,0,0,0,0,Furman,54,87,62.1,750,8.6,8.3,3,2,141.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Omar Jacobs,OJ,5,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bowling Green,523,811,64.5,6938,8.6,9.7,71,11,162.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Reggie McNeal,RM,6,193,0,7,0,0,0,0,0,1,8,0,0,0,0,0,0,0,Texas A&M,478,875,54.6,6992,8,7.8,44,23,133.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Bruce Gradkowski,BG,6,194,1,37,375,709,4057,21,24,88,329,0,0,0,0,0,0,0,Toledo,766,1123,68.2,9225,8.2,8.6,85,27,157.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,DJ Shockley,DS,7,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia,240,443,54.2,3555,8,8.6,34,9,142.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0